No.,Species,Stage,Depth.water..m.,Treat.temp....C.,O2.Sat,Resp.O2.ind...µl...h.,BM.dry..mg.,BM.N..mg.,BM.C..mg.,Ref.data,Location
1,Pachyptilus pacificus,C6F,750,3,0.13,0.463,2.065,0.129,0.892,Ikeda et al. (2006),Variable or Unknown
2,Lucicutia bicornuta,C6M,750,3,0.13,0.121,0.625,0.05,0.253,Ikeda et al. (2006),Variable or Unknown
3,Lucicutia grandis,C5F,750,3,0.13,0.113,0.429,0.032,0.188,Ikeda et al. (2006),Variable or Unknown
4,Metridia asymmetrica,C6F,750,3,0.13,0.175,0.457,0.033,0.242,Ikeda et al. (2006),Variable or Unknown
5,Metridia curticauda,C6F,750,3,0.13,0.141,0.484,0.034,0.27,Ikeda et al. (2006),Variable or Unknown
6,Metridia okhotensis,C6F,750,3,0.13,0.292,0.713,0.05,0.429,Ikeda et al. (2006),Variable or Unknown
7,Pleuromamma scutullata,C6M,750,3,0.13,0.316,0.564,0.067,0.251,Ikeda et al. (2006),Variable or Unknown
8,Pleuromamma scutullata,C6F,750,3,0.13,0.276,0.429,0.031,0.218,Ikeda et al. (2006),Variable or Unknown
9,Pleuromamma xiphias,C6F,750,3,0.13,0.472,0.563,0.067,0.24,Ikeda et al. (2006),Variable or Unknown
10,Candacia columbiae,C6M,750,3,0.13,0.231,0.435,0.05,0.179,Ikeda et al. (2006),Variable or Unknown
11,Aetideopsis rostrata,C5M,750,3,0.13,0.397,0.762,0.08,0.335,Ikeda et al. (2006),Variable or Unknown
12,Chiridius pacificus,C6F,750,3,0.13,0.42,0.692,0.08,0.316,Ikeda et al. (2006),Variable or Unknown
13,Chirundina streetsi,C6F,750,3,0.13,0.787,1.237,0.158,0.538,Ikeda et al. (2006),Variable or Unknown
14,Euchirella brevis,C6F,750,3,0.13,0.51,0.952,0.084,0.506,Ikeda et al. (2006),Variable or Unknown
15,Euchirella galeata,C6F,750,3,0.13,1.139,2.459,0.28,1.126,Ikeda et al. (2006),Variable or Unknown
16,Euchirella messinensis,C6F,750,3,0.13,1.02,1.917,0.215,0.863,Ikeda et al. (2006),Variable or Unknown
17,Euchirella rostrata,C6F,750,3,0.13,0.558,0.93,0.086,0.455,Ikeda et al. (2006),Variable or Unknown
18,Euchirella truncata,C4M,750,3,0.13,0.086,0.517,0.054,0.241,Ikeda et al. (2006),Variable or Unknown
19,Gaidius brevispinus,C6F,750,3,0.13,0.432,0.914,0.077,0.439,Ikeda et al. (2006),Variable or Unknown
20,Gaidius brevispinus,C6F,750,3,0.13,0.362,0.949,0.104,0.419,Ikeda et al. (2006),Variable or Unknown
21,Gaidius robustus,C4F,750,3,0.13,0.228,0.381,0.041,0.18,Ikeda et al. (2006),Variable or Unknown
22,Gaidius tenuispinus,C5F,750,3,0.13,0.77,1.238,0.117,0.624,Ikeda et al. (2006),Variable or Unknown
23,Gaidius tenuispinus,C6F,750,3,0.13,0.251,0.436,0.053,0.197,Ikeda et al. (2006),Variable or Unknown
24,Gaidius variabilis,C5M,750,3,0.13,0.237,0.488,0.051,0.223,Ikeda et al. (2006),Variable or Unknown
25,Gaidius variabilis,C5F,750,3,0.13,0.225,0.323,0.034,0.13,Ikeda et al. (2006),Variable or Unknown
26,Gaidius variabilis,C6F,750,3,0.13,0.295,0.509,0.055,0.243,Ikeda et al. (2006),Variable or Unknown
27,Pseudochirella pacifica,C5M,750,3,0.13,0.488,0.7,0.071,0.296,Ikeda et al. (2006),Variable or Unknown
28,Pseudochirella spinifera,C5M,750,3,0.13,0.583,1.592,0.125,0.923,Ikeda et al. (2006),Variable or Unknown
29,Pseudochirella spinifera,C5M,750,3,0.13,0.632,1.275,0.109,0.687,Ikeda et al. (2006),Variable or Unknown
30,Undeuchaeta plumosa,C6F,750,3,0.13,1.273,3.332,0.322,1.696,Ikeda et al. (2006),Variable or Unknown
31,Paraeuchaeta barbata,C6F,750,3,0.13,0.703,3.862,0.246,2.394,Ikeda et al. (2006),Variable or Unknown
32,Paraeuchaeta birostrata,C5M,750,3,0.13,0.366,1.351,0.095,0.762,Ikeda et al. (2006),Variable or Unknown
33,Paraeuchaeta birostrata,C5F,750,3,0.13,0.448,1.793,0.131,1.038,Ikeda et al. (2006),Variable or Unknown
34,Paraeuchaeta birostrata,C6F,750,3,0.13,0.796,4.852,0.363,2.834,Ikeda et al. (2006),Variable or Unknown
35,Paraeuchaeta brevirostris,C6F,750,3,0.13,1.009,4.969,0.357,2.877,Ikeda et al. (2006),Variable or Unknown
36,Paraeuchaeta elongata,C4M,750,3,0.13,0.176,0.714,0.052,0.407,Ikeda et al. (2006),Variable or Unknown
37,Paraeuchaeta elongata,C4F,750,3,0.13,0.244,0.939,0.066,0.55,Ikeda et al. (2006),Variable or Unknown
38,Paraeuchaeta elongata,C5M,750,3,0.13,0.314,1.122,0.079,0.66,Ikeda et al. (2006),Variable or Unknown
39,Paraeuchaeta elongata,C5M,750,3,0.13,0.261,1.245,0.096,0.684,Ikeda et al. (2006),Variable or Unknown
40,Paraeuchaeta elongata,C5F,750,3,0.13,0.286,1.192,0.083,0.653,Ikeda et al. (2006),Variable or Unknown
41,Paraeuchaeta elongata,C5F,750,3,0.13,0.55,2.38,0.174,1.383,Ikeda et al. (2006),Variable or Unknown
42,Paraeuchaeta elongata,C6F,750,3,0.13,0.846,5.715,0.384,3.412,Ikeda et al. (2006),Variable or Unknown
43,Paraeuchaeta elongata,C6F,750,3,0.13,1.03,1.943,0.185,0.999,Ikeda et al. (2006),Variable or Unknown
44,Paraeuchaeta modesta,C6F,750,3,0.13,1.08,3.867,0.287,2.27,Ikeda et al. (2006),Variable or Unknown
45,Paraeuchaeta orientalis,C6F,750,3,0.13,1.617,8.557,0.529,4.723,Ikeda et al. (2006),Variable or Unknown
46,Paraeuchaeta pseudotumidula,C6M,750,3,0.13,0.54,2.272,0.171,1.331,Ikeda et al. (2006),Variable or Unknown
