Species,Stage,Depth water [m],Treat temp [°C],Resp O2/ind [µl/#/h],BM dry [mg],BM N [mg],BM C [mg],Ref data
Aetideopsis rostrata,C5F,1500.0000,2.0000,0.1220,0.7070,0.0580,0.4000,Ikeda et al. (2006)
Aetideopsis rostrata,C5M,750.0000,3.0000,0.3970,0.7620,0.0800,0.3000,Ikeda et al. (2006)
Aetideopsis rostrata,C5M,1500.0000,2.0000,0.4200,1.8400,0.1060,1.0000,Ikeda et al. (2006)
Amallothrix inornata,C5M,1500.0000,2.0000,0.3630,0.9120,0.0660,0.6000,Ikeda et al. (2006)
Amallothrix inornata,C6F,1500.0000,2.0000,0.2100,0.9460,0.0760,0.5000,Ikeda et al. (2006)
Amallothrix inornata,C6F,2500.0000,1.5000,0.4330,0.8030,0.0840,0.4000,Ikeda et al. (2006)
Amallothrix inornata,C6F,2500.0000,1.5000,0.3690,1.0290,0.1070,0.5000,Ikeda et al. (2006)
Amallothrix inornata,C6M,1500.0000,2.0000,0.1660,0.5240,0.0420,0.3000,Ikeda et al. (2006)
Amallothrix paravalida,C6F,1500.0000,2.0000,0.2600,0.6640,0.0470,0.4000,Ikeda et al. (2006)
Amallothrix valida,C5F,1500.0000,2.0000,0.2870,1.0000,0.0750,0.6000,Ikeda et al. (2006)
Amallothrix valida,C5M,750.0000,3.0000,0.2810,0.6840,0.0550,0.4000,Ikeda et al. (2006)
Amallothrix valida,C6F,750.0000,3.0000,0.5620,0.8720,0.0940,0.4000,Ikeda et al. (2006)
Amallothrix valida,C6F,1500.0000,2.0000,0.3160,1.0940,0.0790,0.7000,Ikeda et al. (2006)
Bathycalanus bradyi,C6F,1500.0000,2.0000,4.1700,34.4900,2.3800,21.8000,Ikeda et al. (2006)
Bathycalanus bradyi,C6F,2500.0000,1.5000,1.2590,16.7800,1.1950,9.9000,Ikeda et al. (2006)
Bathycalanus bradyi,C6F,2500.0000,1.5000,1.0520,10.5200,0.9150,5.0000,Ikeda et al. (2006)
Bradyidius pacificus,C5M,1500.0000,2.0000,0.2250,0.8900,0.0780,0.5000,Ikeda et al. (2006)
Candacia columbiae,C6M,750.0000,3.0000,0.2310,0.4350,0.0500,0.2000,Ikeda et al. (2006)
Chiridius pacificus,C6F,750.0000,3.0000,0.4200,0.6920,0.0800,0.3000,Ikeda et al. (2006)
Chirundina streetsi,C6F,750.0000,3.0000,0.7870,1.2370,0.1580,0.5000,Ikeda et al. (2006)
Cornucalanus indicus,C5F,1500.0000,2.0000,0.9620,3.5500,0.2990,1.8000,Ikeda et al. (2006)
Cornucalanus indicus,C6F,1500.0000,2.0000,1.0170,6.9190,0.5490,3.8000,Ikeda et al. (2006)
Euaugaptilus pseudaffinis,C6F,2500.0000,1.5000,0.2020,1.6810,0.1270,0.9000,Ikeda et al. (2006)
Euchirella brevis,C6F,750.0000,3.0000,0.5100,0.9520,0.0840,0.5000,Ikeda et al. (2006)
Euchirella galeata,C6F,750.0000,3.0000,1.1390,2.4590,0.2800,1.1000,Ikeda et al. (2006)
Euchirella messinensis,C6F,750.0000,3.0000,1.0200,1.9170,0.2150,0.9000,Ikeda et al. (2006)
Euchirella rostrata,C6F,750.0000,3.0000,0.5580,0.9300,0.0860,0.5000,Ikeda et al. (2006)
Euchirella rostrata,C6F,1500.0000,2.0000,0.2420,0.8040,0.0900,0.4000,Ikeda et al. (2006)
Euchirella rostrata,C6F,1500.0000,2.0000,0.5110,0.8200,0.1020,0.3000,Ikeda et al. (2006)
Euchirella truncata,C4M,750.0000,3.0000,0.0860,0.5170,0.0540,0.2000,Ikeda et al. (2006)
Gaetanus paracurvicornis,C6F,2500.0000,1.5000,0.2220,0.7350,0.0690,0.3000,Ikeda et al. (2006)
Gaidius brevispinus,C6F,750.0000,3.0000,0.4320,0.9140,0.0770,0.4000,Ikeda et al. (2006)
Gaidius brevispinus,C6F,750.0000,3.0000,0.3620,0.9490,0.1040,0.4000,Ikeda et al. (2006)
Gaidius brevispinus,C6F,1500.0000,2.0000,0.2700,0.9710,0.0990,0.4000,Ikeda et al. (2006)
Gaidius robustus,C4F,750.0000,3.0000,0.2280,0.3810,0.0410,0.2000,Ikeda et al. (2006)
Gaidius robustus,C5M,2500.0000,1.5000,0.2510,0.7080,0.0680,0.3000,Ikeda et al. (2006)
Gaidius robustus,C5M,2500.0000,1.5000,0.7850,3.4440,0.2090,2.2000,Ikeda et al. (2006)
Gaidius robustus,C5M,2500.0000,1.5000,0.3460,1.2610,0.1040,0.5000,Ikeda et al. (2006)
Gaidius robustus,C6F,2500.0000,1.5000,1.3220,7.0300,0.6720,3.5000,Ikeda et al. (2006)
Gaidius tenuispinus,C5F,750.0000,3.0000,0.7700,1.2380,0.1170,0.6000,Ikeda et al. (2006)
Gaidius tenuispinus,C6F,750.0000,3.0000,0.2510,0.4360,0.0530,0.2000,Ikeda et al. (2006)
Gaidius variabilis,C5F,750.0000,3.0000,0.2250,0.3230,0.0340,0.1000,Ikeda et al. (2006)
Gaidius variabilis,C5F,2500.0000,1.5000,0.2580,0.8350,0.0850,0.4000,Ikeda et al. (2006)
Gaidius variabilis,C5M,750.0000,3.0000,0.2370,0.4880,0.0510,0.2000,Ikeda et al. (2006)
Gaidius variabilis,C6F,750.0000,3.0000,0.2950,0.5090,0.0550,0.2000,Ikeda et al. (2006)
Gaidius variabilis,C6F,1500.0000,2.0000,0.1870,0.6720,0.0670,0.3000,Ikeda et al. (2006)
Gaidius variabilis,C6F,1500.0000,2.0000,0.3000,0.9350,0.1000,0.4000,Ikeda et al. (2006)
Gaidius variabilis,C6F,2500.0000,1.5000,0.1550,1.3160,0.1020,0.7000,Ikeda et al. (2006)
Heterostylites major,C6F,2500.0000,1.5000,0.1620,0.5280,0.0500,0.2000,Ikeda et al. (2006)
Lophothrix frontalis,C6F,1500.0000,2.0000,0.9220,3.1900,0.3030,1.5000,Ikeda et al. (2006)
Lophothrix frontalis,C6F,1500.0000,2.0000,0.6070,1.4160,0.1280,0.8000,Ikeda et al. (2006)
Lucicutia bicornuta,C6F,1500.0000,2.0000,0.2470,1.0170,0.0750,0.5000,Ikeda et al. (2006)
Lucicutia bicornuta,C6M,750.0000,3.0000,0.1210,0.6250,0.0500,0.3000,Ikeda et al. (2006)
Lucicutia ellipsoidalis,C6F,2500.0000,1.5000,0.2710,0.7770,0.0490,0.4000,Ikeda et al. (2006)
Lucicutia grandis,C5F,750.0000,3.0000,0.1130,0.4290,0.0320,0.2000,Ikeda et al. (2006)
Lucicutia grandis,C6F,2500.0000,1.5000,0.2380,1.3980,0.0930,0.7000,Ikeda et al. (2006)
Lucicutia grandis,C6M,1500.0000,2.0000,0.4080,2.1920,0.1900,1.2000,Ikeda et al. (2006)
Lucicutia grandis,C6M,2500.0000,1.5000,0.1570,1.5280,0.0930,0.9000,Ikeda et al. (2006)
Lucicutia longifurca,C5,2500.0000,1.5000,0.1220,1.1890,0.0950,0.6000,Ikeda et al. (2006)
Lucicutia longifurca,C6M,2500.0000,1.5000,0.2910,1.5340,0.0920,0.9000,Ikeda et al. (2006)
Lucicutia pacifica,C6F,1500.0000,2.0000,0.2680,1.8100,0.1310,0.9000,Ikeda et al. (2006)
Lucicutia pacifica,C6F,1500.0000,2.0000,0.4510,1.6340,0.1190,0.8000,Ikeda et al. (2006)
Lucicutia pacifica,C6F,2500.0000,1.5000,0.2710,1.7050,0.1320,0.9000,Ikeda et al. (2006)
Metridia asymmetrica,C6F,750.0000,3.0000,0.1750,0.4570,0.0330,0.2000,Ikeda et al. (2006)
Metridia asymmetrica,C6F,1500.0000,2.0000,0.0460,0.3600,0.0270,0.2000,Ikeda et al. (2006)
Metridia asymmetrica,C6F,1500.0000,2.0000,0.0770,0.3440,0.0250,0.2000,Ikeda et al. (2006)
Metridia asymmetrica,C6F,2500.0000,1.5000,0.0830,0.4250,0.0320,0.2000,Ikeda et al. (2006)
