Species,Diet,Temp,Body Size ,Max Ingestion,Food Concentration,Stage,Table
Acartia clausi,H,15,4.8,6.6,137,CA,A1.2
Acartia tonsa,H,15,4.4,13.8,318,CA,A1.2
Calanoides carinatus,H,15,50,63.3,127,CA,A1.2
Calanus heglolandicus,H,15,1.8,3.9,223,CA,A1.2
Calanus heglolandicus,H,15,4.2,6,144,CA,A1.2
Calanus heglolandicus,H,15,9.4,11.6,124,CA,A1.2
Calanus heglolandicus,H,15,28.9,32.5,113,CA,A1.2
Calanus heglolandicus,H,15,65.2,26.6,41,CA,A1.2
Calanus heglolandicus,H,15,97,54.3,56,CA,A1.2
Eurytemora affinis,H,15,3.7,5.5,150,CA,A1.2
Temora longicornis,C,15,3.3,3.9,118,CA,A1.2
Temora longicornis,C,15,4,6.8,170,CA,A1.2
Temora longicornis,C,15,6.9,4.5,65,CA,A1.2
Temora longicornis,C,15,8.8,9.1,102,CA,A1.2
Calanus heglolandicus,H,15,0.47,1.4,297,N,A1.3
Calanus heglolandicus,H,15,0.82,1.4,170,N,A1.3
Calanus heglolandicus,H,15,1.3,1.4,110,N,A1.3
Calanus heglolandicus,H,15,1.6,1.9,120,N,A1.3
